Token, tipo, linha
program, Palavra reservada, 1
teste, Identificador, 1
;, Delimitador, 1
var, Palavra reservada, 2
valor1, Identificador, 3
:, Delimitador, 3
integer, Palavra reservada, 3
;, Delimitador, 3
valor2, Identificador, 4
:, Delimitador, 4
real, Palavra reservada, 4
;, Delimitador, 4
begin, Palavra reservada, 5
valor1, Identificador, 6
:=, Atribuicao, 6
10, Inteiro, 6
;, Delimitador, 6
valor2, Identificador, 7
:=, Atribuicao, 7
20, Inteiro, 7
;, Delimitador, 7
end, Palavra reservada, 8
., Delimitador, 8
